,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
1175,1010833,Speed,12,8,13,3
1371,1009687,Unus,12,10,8,1
1232,1010979,Storm (Age of Apocalypse),12,3,11,1
1462,1010884,Wrecker,12,9,14,1
762,1009735,Mariko Yashida,12,6,11,1
0,1011334,3-D Man,12,3,21,1
694,1009403,Liz Osborn,12,7,10,2
535,1010722,Human Robot,12,6,12,2
170,1009213,Bushwacker,12,8,13,1
681,1011421,Lethal Legion,12,8,9,1
141,1009200,Blockbuster,12,8,11,2
603,1010667,Jessica Drew,12,4,13,1
37,1009151,Amiko,12,3,12,1
637,1010810,Kate Bishop,12,5,12,2
1041,1009543,Riptide,11,7,9,2
1198,1010795,Spider-Woman (Charlotte Witter),11,6,14,1
1080,1011048,Scalphunter,11,7,11,2
452,1011144,Glorian,11,2,19,1
967,1011234,Prince of Orphans,11,3,16,1
636,1010783,Kat Farrell,11,7,8,1
859,1011210,Mulholland Black,11,2,19,1
462,1010928,Green Goblin (Harry Osborn),11,3,11,2
1304,1009660,The Stranger,11,9,7,1
1250,1011232,Supernaut,11,2,19,1
208,1009688,Carmella Unuscione,11,3,11,1
53,1011208,Anthem,11,2,20,1
177,1011209,Calamity,11,2,20,1
1386,1011231,Veda,11,2,20,1
158,1011236,Bride of Nine Spiders (Immortal Weapons),10,2,14,1
943,1009495,Pestilence,10,2,13,1
919,1010757,Omega Flight,10,3,13,1
161,1011090,Brother Voodoo,10,9,10,1
1225,1010901,Stephen Strange,10,6,12,1
1263,1009646,Talisman (Elizabeth Twoyoungmen),10,2,10,1
204,1011052,Cardiac,10,4,10,1
289,1011387,Dark X-Men,10,3,17,1
287,1010907,Dark Beast,10,5,10,2
368,1009292,Emplate,10,5,9,1
743,1010945,Magneto (House of M),10,7,8,1
742,1010944,Magneto (Age of Apocalypse),9,5,10,1
689,1011257,Lily Hollister,9,1,12,1
103,1010829,Bengal,9,3,10,3
1327,1011237,Tiger's Beautiful Daughter,9,2,14,1
165,1009210,Brute,9,6,7,1
807,1009530,Mikhail Rasputin,9,5,12,1
1214,1009621,Starbolt,9,6,6,1
757,1009423,Manta,9,7,5,1
587,1010766,Jack O' Lantern,9,7,9,2
1088,1010790,Scorpion (Carmilla Black),9,3,9,1
825,1011019,Molecule Man,9,6,10,1
1051,1010967,Rogue (Age of Apocalypse),9,4,9,1
1480,1010996,Yellowjacket (Rita DeMara),9,4,9,1
516,1010930,Hobgoblin (Jason Macendale),9,4,9,1
